"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn11022140","slurmrunner.pl","2","text/x-perl-script","628","3344014","1507130080768","3344014","1509757048943","syn11021860","https://www.synapse.org/#!Synapse:syn11022140.2","bda8f74614335ebdb4bd03314308139d"
"syn11022136","split_samples_para.R","1","text/plain","629","3344014","1507130078558","3344014","1509757090115","syn11021860","https://www.synapse.org/#!Synapse:syn11022136.1","63f53ee00ccdb1cf65d7bfeae5307df9"
"syn11022162","feature_selection_para.R","1","text/plain","691","3344014","1507130117397","3344014","1509757065573","syn11021860","https://www.synapse.org/#!Synapse:syn11022162.1","4bc9f8a3979169d0625ac2bebef2e6d1"
"syn11022167","download_testing_rawdata.R","1","text/plain","1240","3344014","1507130122925","3344014","1509757060534","syn11021860","https://www.synapse.org/#!Synapse:syn11022167.1","842ae79346c33f8ac4b0caf85311af3a"
"syn11021873","install_R_lib.R","2","text/plain","1395","3344014","1507128767208","3344014","1509757070737","syn11021860","https://www.synapse.org/#!Synapse:syn11021873.2","9fa18dcfc9bf17075c03c33fff82bb33"
"syn11022161","filter_recordId.R","1","text/plain","1409","3344014","1507130115444","3344014","1509757066959","syn11021860","https://www.synapse.org/#!Synapse:syn11022161.1","95f720d329eb638759a50481a3f7b3ac"
"syn11022171","bagging_importance_para.R","4","text/plain","1511","3344014","1507130126958","3344014","1509757056684","syn11021860","https://www.synapse.org/#!Synapse:syn11022171.4","4e109d802d39aa17c7709c391bb16204"
"syn11022220","feature_selection_merge_rf_svm_imp.R","1","text/plain","1530","3344014","1507130302684","3344014","1507130302684","syn11022206","https://www.synapse.org/#!Synapse:syn11022220.1","5f415a26e6dc169c04404c2429c4d972"
"syn11022169","download_supp_rawdata.R","1","text/plain","1533","3344014","1507130124993","3344014","1509757058917","syn11021860","https://www.synapse.org/#!Synapse:syn11022169.1","e2c2b75caefd71172a2faae40293da7e"
"syn11388615","feature_ttest.R","1","text/plain","1695","3344014","1509757158128","3344014","1509757158128","syn11388612","https://www.synapse.org/#!Synapse:syn11388615.1","6f82004c7a33a104f056d98090ae166a"
"syn11022155","run_table_test.R","1","text/plain","1871","3344014","1507130095462","3344014","1509757078207","syn11021860","https://www.synapse.org/#!Synapse:syn11022155.1","34ee161a5886448c4fb7d54dd3fb5696"
"syn11022153","run_table_total.R","1","text/plain","1985","3344014","1507130094092","3344014","1509757079259","syn11021860","https://www.synapse.org/#!Synapse:syn11022153.1","87fa7fa783716d683a1fd7830807b8b3"
"syn11022150","run_table.R","1","text/plain","2422","3344014","1507130092438","3344014","1509757081020","syn11021860","https://www.synapse.org/#!Synapse:syn11022150.1","e58c8d3d7cbb3a11f536756038a7466e"
"syn11022158","pr_demo.R","3","text/plain","2513","3344014","1507130099816","3344014","1509757076098","syn11021860","https://www.synapse.org/#!Synapse:syn11022158.3","f5508d6f11ba90d38ed3ca721fd48bf0"
"syn11022156","run_table_recordId.R","1","text/plain","2552","3344014","1507130096872","3344014","1509757077184","syn11021860","https://www.synapse.org/#!Synapse:syn11022156.1","490925335620bea966a6cdca8787d656"
"syn11388618","merging_remove_redundant_v2.R","1","text/plain","2677","3344014","1509757161218","3344014","1509757161218","syn11388612","https://www.synapse.org/#!Synapse:syn11388618.1","757583afa728dccbbba59cfaad146e47"
"syn11388619","merging_remove_redundant.R","1","text/plain","2677","3344014","1509757162931","3344014","1509757162931","syn11388612","https://www.synapse.org/#!Synapse:syn11388619.1","757583afa728dccbbba59cfaad146e47"
"syn11021888","download_training_rawdata.R","1","text/plain","2778","3344014","1507128841101","3344014","1509757062141","syn11021860","https://www.synapse.org/#!Synapse:syn11021888.1","8802546217cdafc9289b39e6136919b4"
"syn11022160","get_final_fetures.R","1","text/plain","2988","3344014","1507130113760","3344014","1509757068282","syn11021860","https://www.synapse.org/#!Synapse:syn11022160.1","e6958d2734b1a883ffda5e587bf5f172"
"syn11388622","split_samples_Ldopa_v2.R","1","text/plain","3254","3344014","1509757180471","3344014","1509757180471","syn11388612","https://www.synapse.org/#!Synapse:syn11388622.1","124bbdf1df4bd7c1cdcaec60d8240237"
"syn11022217","split_samples.R","1","text/plain","4082","3344014","1507130297295","3344014","1507130297295","syn11022206","https://www.synapse.org/#!Synapse:syn11022217.1","c75d052703758e11bb80ab2cdbe6c46f"
"syn11388623","split_samples_Ldopa.R","1","text/plain","4126","3344014","1509757182177","3344014","1509757182177","syn11388612","https://www.synapse.org/#!Synapse:syn11388623.1","b02d71bfe6a4429199605c7c75401592"
